요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명
신성태평양약국,81,약국,250000,대전,250001,대전유성구
신세계약국,81,약국,340000,충남,340014,청양군
누리약국,81,약국,340000,충남,340700,논산시
내포우리약국,81,약국,340000,충남,340015,홍성군
서문약국,81,약국,340000,충남,340600,서산시
엘약국,81,약국,410000,세종시,410000,세종시
신중앙약국,81,약국,340000,충남,340015,홍성군
미르온누리약국,81,약국,340000,충남,340202,천안동남구
조은약국,81,약국,110000,서울,110011,성동구
준효약국,81,약국,110000,서울,110022,노원구
현대약국,81,약국,340000,충남,340700,논산시
대림약국,81,약국,110000,서울,110005,구로구
샛별약국,81,약국,310000,경기,311102,안산상록구
감사약국,81,약국,310000,경기,312200,파주시
서울약국,81,약국,310000,경기,311700,시흥시
백화점약국,81,약국,310000,경기,311200,평택시
능곡백제약국,81,약국,310000,경기,311901,고양덕양구
세기약국,81,약국,310000,경기,310603,수원팔달구
옵티마2층약국,81,약국,310000,경기,311901,고양덕양구
포도원약국,81,약국,310000,경기,311600,의왕시
정다운약국,81,약국,310000,경기,311300,하남시
큰사랑약국,81,약국,310000,경기,310701,안양만안구
아이사랑약국,81,약국,310000,경기,311901,고양덕양구
백의종로약국,81,약국,310000,경기,310011,연천군
사랑온누리약국,81,약국,310000,경기,310402,성남중원구
양업약국,81,약국,310000,경기,312700,양주시
사랑의약국,81,약국,310000,경기,312200,파주시
신이화약국,81,약국,220000,인천,220006,인천남동구
햇빛약국,81,약국,110000,서울,110006,도봉구
건강드림약국,81,약국,390000,제주,390200,제주시
한아름약국,81,약국,310000,경기,312002,용인수지구
365스마일약국,81,약국,250000,대전,250003,대전서구
메디컬건강약국,81,약국,310000,경기,310702,안양동안구
도마조아약국,81,약국,250000,대전,250003,대전서구
조흥약국,81,약국,350000,전북,350100,군산시
연세약국,81,약국,230000,대구,230002,대구동구
데일리약국,81,약국,310000,경기,310403,성남분당구
대한약국,81,약국,110000,서울,110016,종로구
백세약국,81,약국,320000,강원,320100,강릉시
미소온누리약국,81,약국,350000,전북,350402,전주덕진구
하늘후문약국,81,약국,110000,서울,110007,동대문구
우리약국,81,약국,350000,전북,350006,순창군
옵티마동래약국,81,약국,210000,부산,210003,부산동래구
호암종로약국,81,약국,330000,충북,330200,충주시
더좋은약국,81,약국,250000,대전,250003,대전서구
가나안약국,81,약국,310000,경기,310300,부천시
지현약국,81,약국,310000,경기,311700,시흥시
시온약국,81,약국,350000,전북,350008,완주군
신세계약국,81,약국,230000,대구,230002,대구동구
강남모아약국,81,약국,370000,경북,370017,예천군
메디칼종합온누리약국,81,약국,310000,경기,311102,안산상록구
다온약국,81,약국,110000,서울,110022,노원구
세종약국,81,약국,110000,서울,110023,광진구
사랑약국,81,약국,360000,전남,360500,여수시
부림약국,81,약국,380000,경남,380014,창녕군
신한미온누리약국,81,약국,240000,광주,240005,광주남구
중앙약국,81,약국,380000,경남,380008,산청군
봄약국,81,약국,310000,경기,312600,광주시
안락고려약국,81,약국,210000,부산,210003,부산동래구
스타약국,81,약국,210000,부산,210003,부산동래구
새보령약국,81,약국,340000,충남,340400,보령시
조은약국,81,약국,340000,충남,340015,홍성군
조아약국,81,약국,310000,경기,310401,성남수정구
한마루약국,81,약국,310000,경기,312001,용인기흥구
역곡나무약국,81,약국,310000,경기,310300,부천시
우리정다운약국,81,약국,110000,서울,110015,은평구
명진팜약국,81,약국,110000,서울,110003,강서구
광주약국,81,약국,110000,서울,110008,동작구
서면동산약국,81,약국,210000,부산,210004,부산진구
큰사랑약국,81,약국,210000,부산,210100,부산기장군
윤약국,81,약국,330000,충북,330011,증평군
